id,page_name,section_name,title,content,images,order_index,created_at
14,about,mission,Misyonumuz,"Müşteri Memnuniyeti: Müşterilere en yüksek kalite standartlarında inşaat ve emlak hizmetleri sunmak. Müşteri beklentilerini en iyi şekilde karşılamak için sürekli geri bildirim toplamak ve geliştirmek.
  
Kaliteli ve Güvenilir Yapılar:
Dayanıklı, estetik ve güvenli yapılar inşa ederek, yaşam alanlarının kalitesini artırmak. Her projede yüksek kalitede malzemeler ve işçilik kullanmak.

Sürdürülebilirlik: Çevreye duyarlı inşaat yöntemleri kullanarak, doğanın korunmasına katkıda bulunmak. Enerji verimliliği yüksek, ekolojik açıdan sürdürülebilir projeler geliştirmek.
",[],1,2025-07-18 04:13:54.123906
15,about,vision,Vizyonumuz,"Sektör Liderliği: İnşaat sektöründe Türkiye’nin en saygın ve tercih edilen firmalarından biri olmak. Hem yerel hem de ulusal düzeyde liderlik pozisyonu elde etmek.

İnovasyon ve Gelişim:Sürekli olarak yeniliklere açık bir yaklaşım benimseyerek, teknolojik gelişmeleri takip etmek ve uygulamak. Yaratıcı çözümler sunarak sektörde fark yaratmak.

Uzun Süreli İlişkiler:Müşteriler, tedarikçiler ve iş ortakları ile kalıcı ve sağlam ilişkiler kurmak. Güvenilir bir iş ortağı olarak sektörde tanınmak.

Topluma Katkı:Faaliyet gösterdiği bölgelerde sosyal sorumluluk projelerine destek vererek, topluma katkıda bulunmak ve yerel kalkınmaya yardımcı olmak.

Bilir İnşaat, bu misyon ve vizyon çerçevesinde hareket ederek, hem müşteri beklentilerini hem de sektördeki gelişimleri dikkate alarak faaliyetlerini sürdürmektedir. Başka bir konuda daha fazla bilgi almak isterseniz, lütfen sorabilirsiniz!",[],1,2025-07-18 04:13:54.123906
16,about,values,Değerlerimiz,"Kalite, güvenilirlik, müşteri memnuniyeti ve sürdürülebilirlik temel değerlerimizdir.",,1,2025-07-18 04:13:54.123906
17,contact,hero,İletişim,"Bizimle iletişime geçin, projeleriniz hakkında konuşalım.","[""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
18,contact,contact_info,İletişim Bilgileri,"Adres: REŞADİYE MAHALLESİ ATATÜRK BULVARI CADDESİ NO:48/D ÇORLU/TEKİRDAĞ BİLİR İNŞAAT
Telefon: 0533 368 1965
E-posta: iletisim@blrinsaat.com",[],1,2025-07-18 04:13:54.123906
19,contact,working_hours,Çalışma Saatleri,"Pazartesi - Cuma: 08:00 - 18:00
Cumartesi: 09:00 - 14:00
Pazar: Kapalı",,1,2025-07-18 04:13:54.123906
20,footer,company_info,Uysal İnşaat,Kaliteli ve güvenilir inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
21,footer,contact_info,İletişim,"Adres: REŞADİYE MAHALLESİ ATATÜRK BULVARI CADDESİ NO:48/D ÇORLU/TEKİRDAĞ BİLİR İNŞAAT
Telefon: +90 212 555 0123
E-posta: info@uysalinsaat.com",[],1,2025-07-18 04:13:54.123906
22,footer,social_links,Sosyal Medya,"Facebook, Instagram, LinkedIn",,1,2025-07-18 04:13:54.123906
23,footer,copyright,Telif Hakkı,© 2024 Uysal İnşaat. Tüm hakları saklıdır.,,1,2025-07-18 04:13:54.123906
24,contact,hero,İletişim,"Bizimle iletişime geçin, projeleriniz hakkında konuşalım.",,1,2025-07-23 11:44:14.308039
25,contact,contact_info,İletişim Bilgileri,Adres: REŞADİYE MAHALLESİ ATATÜRK BULVARI CADDESİ NO:48/D ÇORLU/TEKİRDAĞ BİLİR İNŞAAT,[],2,2025-07-23 11:44:14.308039
26,projects,hero,Projelerimiz,Tüm projelerimizi bu sayfada bulabilirsiniz.,,1,2025-07-23 11:44:14.308039
27,home,security,Güvenliğinizi Ön Planda Tutan Yapılar,"Ailenizin huzuru ve güvenliği için en kaliteli malzemeleri ve ileri mühendislik tekniklerini kullanıyoruz. Deprem yönetmeliğine uygun, dayanıklı ve güvenilir yapılarımızla, sevdiklerinizle birlikte güven içinde yaşayacağınız alanlar oluşturuyoruz.","[""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753375998645_55555.jpeg""]",0,2025-07-24 16:19:36.275818
28,home,comfort,Her Detayda Konfor ve Şıklık,"İç mekan tasarımlarımızda, konforu ve estetiği buluşturuyoruz. Ferah ve aydınlık yaşam alanları, fonksiyonel çözümler ve modern dekorasyon anlayışıyla, evinizde her anı keyifle yaşamanız için çalışıyoruz.","[""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753375303208_33.jpeg""]",0,2025-07-24 16:19:36.275818
29,home,parking,Aile Dostu Sosyal Tesisler,"Çocuk oyun alanları, spor salonları, yüzme havuzları ve dinlenme alanları ile ailenizle birlikte keyifli vakit geçirebileceğiniz sosyal tesisler sunuyoruz. Her yaşa uygun aktivitelerle yaşam kalitenizi artırıyoruz.","[""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753375905209_4444.jpeg""]",0,2025-07-24 16:19:36.275818
30,home,social,"Doğayla İç İçe, Sürdürülebilir Projeler","Projelerimizde yeşil alanlara ve çevre dostu uygulamalara öncelik veriyoruz. Geniş peyzaj alanları, yürüyüş yolları ve doğal yaşamı destekleyen tasarımlar ile hem kendiniz hem de çocuklarınız için sağlıklı bir yaşam ortamı sunuyoruz.","[""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753374505218_1.jpeg""]",0,2025-07-24 16:19:36.275818
31,about,main_image,Ana Görsel,,"[""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753378213506_ofis.jpeg""]",1,2025-07-24 17:28:50.186872
32,about,office,Merkez Ofisimiz,Ofisimizden kareler,"[""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753378235709_ofis3.jpg"",""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753378236935_ofis2.jpg"",""https://ppsebgfdytsdhwuhoqaq.supabase.co/storage/v1/object/public/project-images/projects/1753378237980_ofis.jpeg""]",2,2025-07-24 17:28:50.446507
33,about,coordinator,Sefer KALKAN,"Bilir İnşaat'ın bölge koordinatörlüğünü yürüten ve firmanın 40 yıllık geçmişinde önemli bir rol oynamış bir isimdir. İnşaat sektöründe önemli bir deneyime sahip olan Kalkan, projelerin yönetiminde ve gelişiminde etkin bir liderlik sergilemektedir.

Kariyer Geçmişi
- Uzun Süreli Deneyim: Sefer Kalkan, 40 yıldan fazla bir süredir inşaat sektöründe aktif olarak çalışmaktadır. Bu süre zarfında çeşitli projelerde yer alarak hem deneyim kazanmış hem de sektördeki yenilikleri takip etmiştir.
- Proje Yönetimi: Kalkan, projelerin planlamasından uygulamasına kadar olan tüm aşamalarını yöneten bir koordinatör olarak çalışmaktadır. İş gücü, maliyet, zaman yönetimi gibi unsurları etkili bir şekilde organize etme yeteneği ile dikkat çekmektedir.

Proje Anlayışı
Sefer Kalkan, Bilir İnşaat'ın projelerini aşağıdaki prensiplerle şekillendirmektedir:
- Kalite ve Estetik: Her projede estetik kaygıların yanı sıra kaliteye de büyük önem vermektedir. Yapılan işlerin, uzun ömürlü ve estetik açıdan tatmin edici olmasına özen göstermektedir.
- Müşteri Odaklılık: Müşteri beklentilerini anlamak ve onlara uygun çözümler sunmak Kalkan'ın temel prensiplerindendir. Böylece projeler, kullanıcı ihtiyaçlarına en iyi şekilde hizmet etmektedir.
- İnovasyon: Yeni inşaat teknikleri ve malzemeleri kullanarak projeleri sürekli olarak güncelleyerek, yenilikçi bir yaklaşım benimsemektedir.

Sosyal Sorumluluk
Sefer Kalkan, topluma duyarlı bir iş anlayışını benimsemekte ve çevre dostu projelere imza atmaktadır. Hem yerel hem de sosyal projelere katkıda bulunmayı hedeflemektedir.

Sonuç
Sefer Kalkan, Bilir İnşaat'ın bölge koordinatörlüğünde gösterdiği üstün başarı ve deneyim ile sektörde önemli bir yer edinmiştir. Onun liderliği altında, Bilir İnşaat, projelerinde yüksek kalite ve müşteri memnuniyetine odaklanarak inşaat dünyasında kendine sağlam bir yer edinmeyi sürdürmektedir.",,10,2025-07-24 17:46:00.70241
