id,page,section_name,title,content,images,order_index,created_at
11,about,hero,Hakkımızda,Bilir İnşaat olarak 20 yılı aşkın süredir inşaat sektöründe faaliyet gösteriyoruz.,"[""https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
12,about,company_info,Bilir Grup,"Bilir Grup olarak, 1980 yılından bu yana başta inşaat ve yatırım sektörü olmak üzere gayrimenkul geliştirme, gıda ve diğer çeşitli alanlarda faaliyet gösteren güçlü ve köklü bir marka olarak hizmet vermekteyiz.

Kuruluşumuzdan bu yana, müşteri memnuniyetini ön planda tutarak, kaliteli hizmet anlayışımızla sektörde öncü konumda yer almaktayız. Deneyimli ekibimiz ve modern teknolojilerimizle, her projemizde en yüksek standartları hedeflemekteyiz.

Vizyonumuz, yaşam alanlarını sadece bir ev değil, bir yaşam tarzı olarak tasarlamak ve müşterilerimize güvenli, konforlu ve estetik değeri yüksek projeler sunmaktır.",,1,2025-07-18 04:13:54.123906
13,about,vision,Vizyonumuz,"Bilir Grup olarak vizyonumuz, inşaat sektöründe yenilikçi ve sürdürülebilir çözümler üreterek, müşterilerimizin yaşam kalitesini artırmak ve topluma değer katan projeler geliştirmektir.

Modern mimarinin zarif çizgileriyle, fonksiyonelliği ve estetiği bir araya getirerek, her detayı özenle planlanmış yaşam alanları oluşturmayı hedefliyoruz.",,1,2025-07-18 04:13:54.123906
14,about,mission,Misyonumuz,"Misyonumuz, müşterilerimize en kaliteli inşaat hizmetlerini sunarak, güvenilir ve dayanıklı yapılar inşa etmektir. 

Teknolojik gelişmeleri takip ederek, çevreye duyarlı ve sürdürülebilir projeler geliştiriyoruz. Müşteri memnuniyetini her zaman ön planda tutarak, uzun vadeli ilişkiler kurmayı hedefliyoruz.",,1,2025-07-18 04:13:54.123906
15,about,office,Merkez Ofisimiz,"Bilir İnşaat merkez ofisimiz, modern ve konforlu bir çalışma ortamında, deneyimli ekibimizle birlikte müşterilerimize en iyi hizmeti sunmaktadır.

Ofisimizde, projelerimizi detaylı bir şekilde inceleyebilir, uzman ekibimizle görüşebilir ve size özel çözümler hakkında bilgi alabilirsiniz.","[""https://images.unsplash.com/photo-1497366216548-37526070297c?w=800&h=600&fit=crop"",""https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=800&h=600&fit=crop"",""https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=800&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
16,about,coordinator,Bölge Koordinatörü,"Bilir İnşaat bölge koordinatörümüz, 15 yılı aşkın deneyimiyle projelerimizin başarıyla tamamlanmasında önemli rol oynamaktadır.

Koordinatörümüz, müşterilerimizle yakın iletişim kurarak, projelerin her aşamasında detaylı bilgi verir ve en iyi çözümleri sunar. Teknik bilgisi ve sektör deneyimiyle, projelerinizin hayata geçirilmesinde güvenilir bir partner olarak hizmet vermektedir.

Uzmanlık alanları:
- Proje yönetimi ve koordinasyon
- Müşteri ilişkileri yönetimi
- Teknik danışmanlık
- Kalite kontrol ve denetim
- Zaman ve maliyet yönetimi",,1,2025-07-18 04:13:54.123906
17,contact,hero,İletişim,Bizimle iletişime geçin ve projelerimiz hakkında detaylı bilgi alın.,"[""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
18,contact,info,İletişim Bilgileri,"Bilir İnşaat ile iletişime geçmek için aşağıdaki bilgileri kullanabilirsiniz. Uzman ekibimiz size en kısa sürede dönüş yapacaktır.",,1,2025-07-18 04:13:54.123906
19,footer,logo,Bilir İnşaat,Güvenilir ve kaliteli inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
20,footer,company_info,Bilir İnşaat,Kaliteli ve güvenilir inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
21,footer,quick_links,Hızlı Linkler,"Ana sayfa, projeler, hakkımızda ve iletişim sayfalarına hızlı erişim",,1,2025-07-18 04:13:54.123906
22,footer,services,Hizmetlerimiz,"Konut inşaatı, ticari inşaat ve emlak danışmanlığı hizmetlerimiz",,1,2025-07-18 04:13:54.123906
23,footer,copyright,Telif Hakkı,© 2024 Bilir İnşaat. Tüm hakları saklıdır.,,1,2025-07-18 04:13:54.123906
